policy,controller_id,controller,alpha,unsafe_rate,unsafe_ci_low,unsafe_ci_high,success_rate,success_ci_low,success_ci_high,terminal_rate,terminal_ci_low,terminal_ci_high,mean_blocked,blocked_ci_low,blocked_ci_high,mean_malformed_executed,malformed_ci_low,malformed_ci_high,mean_trace_len,trace_len_ci_low,trace_len_ci_high,mean_steps,steps_ci_low,steps_ci_high
disclosure,fsm_guard,Finite-state guard,0.0,0.0,0.0,0.000767730137580694,1.0,0.9992322698624194,1.0,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.1,0.0,0.0,0.000767730137580694,0.8296,0.818926144684783,0.8397677676085239,0.0,0.0,0.000767730137580694,0.4288,0.41072085878896386,0.44687914121103617,0.0,0.0,0.0,13.5712,13.553120858788963,13.589279141211035,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.2,0.0,0.0,0.000767730137580694,0.6854,0.672390515386048,0.6981248102789371,0.0,0.0,0.000767730137580694,0.7844,0.7603555505790964,0.8084444494209035,0.0,0.0,0.0,13.2156,13.191555550579096,13.239644449420904,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.3,0.0,0.0,0.000767730137580694,0.5358,0.5219540733752281,0.5495909571469213,0.0,0.0,0.000767730137580694,1.2046,1.1757599423139573,1.2334400576860425,0.0,0.0,0.0,12.7954,12.766559942313958,12.824240057686044,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.4,0.0,0.0,0.000767730137580694,0.4002,0.3867012085325692,0.413852030402892,0.0,0.0,0.000767730137580694,1.6062,1.5735038178827527,1.6388961821172474,0.0,0.0,0.0,12.3938,12.361103817882753,12.426496182117248,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.5,0.0,0.0,0.000767730137580694,0.298,0.28548108747922457,0.31082907549635813,0.0,0.0,0.000767730137580694,1.9816,1.9463332303352106,2.0168667696647895,0.0,0.0,0.0,12.0184,11.983133230335211,12.053666769664789,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.6,0.0,0.0,0.000767730137580694,0.2086,0.19756353995148648,0.22008389317269558,0.0,0.0,0.000767730137580694,2.397,2.35787661838596,2.4361233816140397,0.0,0.0,0.0,11.603,11.56387661838596,11.64212338161404,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.7,0.0,0.0,0.000767730137580694,0.1174,0.10876981303778628,0.12661765406349046,0.0,0.0,0.000767730137580694,2.8038,2.7623354311495563,2.8452645688504434,0.0,0.0,0.0,11.1962,11.154735431149556,11.237664568850443,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.8,0.0,0.0,0.000767730137580694,0.069,0.062300407664844036,0.07636137571375051,0.0,0.0,0.000767730137580694,3.2016,3.1584208595276007,3.2447791404723993,0.0,0.0,0.0,10.7984,10.755220859527602,10.8415791404724,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.9,0.0,0.0,0.000767730137580694,0.0272,0.023041255396114943,0.032084710221981366,0.0,0.0,0.000767730137580694,3.6216,3.575958036633107,3.6672419633668927,0.0,0.0,0.0,10.3784,10.332758036633106,10.424041963366893,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,1.0,0.0,0.0,0.000767730137580694,0.0062,0.004371360588064539,0.008786849695810154,0.0,0.0,0.000767730137580694,4.0012,3.9546281302777193,4.047771869722281,0.0,0.0,0.0,9.9988,9.95222813027772,10.04537186972228,14.0,14.0,14.0
