policy,controller_id,controller,alpha,unsafe_rate,unsafe_ci_low,unsafe_ci_high,success_rate,success_ci_low,success_ci_high,terminal_rate,terminal_ci_low,terminal_ci_high,mean_blocked,blocked_ci_low,blocked_ci_high,mean_malformed_executed,malformed_ci_low,malformed_ci_high,mean_trace_len,trace_len_ci_low,trace_len_ci_high,mean_steps,steps_ci_low,steps_ci_high
approval,fsm_guard,Finite-state guard,0.0,0.0,0.0,0.000767730137580694,1.0,0.9992322698624194,1.0,1.0,0.9992322698624194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
approval,fsm_guard,Finite-state guard,0.1,0.0,0.0,0.000767730137580694,0.9776,0.9731167334700892,0.9813499307024938,1.0,0.9992322698624194,1.0,0.229,0.21538096763758535,0.24261903236241467,0.0,0.0,0.0,2.9776,2.9734977784797647,2.981702221520235,3.2066,3.1923371945009076,3.220862805499092
approval,fsm_guard,Finite-state guard,0.2,0.0,0.0,0.000767730137580694,0.956,0.9499563783730637,0.9613434517414626,1.0,0.9992322698624194,1.0,0.5038,0.4824926500453103,0.5251073499546898,0.0,0.0,0.0,2.956,2.950314485291946,2.961685514708054,3.4598,3.4373956546383204,3.4822043453616796
approval,fsm_guard,Finite-state guard,0.3,0.0,0.0,0.000767730137580694,0.9292,0.9217560320139744,0.9359849484359264,1.0,0.9992322698624194,1.0,0.8474,0.8184459307146226,0.8763540692853775,0.0,0.0,0.0,2.9292,2.922089735897569,2.936310264102431,3.7766,3.746173458126319,3.8070265418736815
approval,fsm_guard,Finite-state guard,0.4,0.0,0.0,0.000767730137580694,0.893,0.8841280769187275,0.9012684871931341,1.0,0.9992322698624194,1.0,1.1952,1.1588744739187962,1.231525526081204,0.0,0.0,0.0,2.893,2.8844309609636785,2.901569039036321,4.0882,4.049940299958668,4.126459700041331
approval,fsm_guard,Finite-state guard,0.5,0.0,0.0,0.000767730137580694,0.8558,0.8457894191016545,0.8652642641324432,1.0,0.9992322698624194,1.0,1.6662,1.62040369924184,1.7119963007581598,0.0,0.0,0.0,2.8558,2.846061697200051,2.8655383027999486,4.522,4.4738643860267,4.5701356139733
approval,fsm_guard,Finite-state guard,0.6,0.0,0.0,0.000767730137580694,0.8064,0.7952143051031931,0.8171152298684975,0.9986,0.9971127434504155,0.9993216760563892,2.2142,2.15858071407013,2.26981928592987,0.0,0.0,0.0,2.8064,2.7954467641544656,2.8173532358455344,5.0206,4.962252134208582,5.0789478657914175
approval,fsm_guard,Finite-state guard,0.7,0.0,0.0,0.000767730137580694,0.7496,0.7374025616198691,0.7614141874954509,0.9886,0.9852595777823054,0.9911901963272509,3.005,2.9333234011202722,3.0766765988797276,0.0,0.0,0.0,2.7472,2.7349619650976615,2.759438034902338,5.7522,5.678070397431751,5.82632960256825
approval,fsm_guard,Finite-state guard,0.8,0.0,0.0,0.000767730137580694,0.6624,0.6491718802778612,0.6753787609734525,0.9724,0.967483637934199,0.9765910106318149,3.8344,3.749181386079821,3.919618613920179,0.0,0.0,0.0,2.6568,2.6432472959435893,2.670352704056411,6.4912,6.404286037320342,6.578113962679658
approval,fsm_guard,Finite-state guard,0.9,0.0,0.0,0.000767730137580694,0.5352,0.5213533515790993,0.5489926002192149,0.9138,0.9056993389022231,0.921265287635915,5.082,4.980727553925133,5.1832724460748665,0.0,0.0,0.0,2.5048,2.488914501716397,2.5206854982836027,7.5868,7.486315274271439,7.687284725728562
approval,fsm_guard,Finite-state guard,1.0,0.0,0.0,0.000767730137580694,0.3418,0.32877865766816183,0.3550642521473688,0.8028,0.7915405163933699,0.8135945462353112,6.5054,6.389847580154567,6.620952419845433,0.0,0.0,0.0,2.2154,2.195614584094204,2.2351854159057956,8.7208,8.611216635667713,8.830383364332288
